id2	id	time	group	bp	group1	group2	group3	group4	highbp
1	1	1	1	112.5	1	0	0	0	1
1	1	5	1	100.5	1	0	0	0	1
1	1	10	1	102.5	1	0	0	0	1
1	1	15	1	102.5	1	0	0	0	1
1	1	30	1	107.5	1	0	0	0	1
1	1	60	1	107.5	1	0	0	0	1
1	1	120	1	95	1	0	0	0	0
1	1	180	1	102.5	1	0	0	0	1
1	1	240	1	100.5	1	0	0	0	1
2	2	1	1	92.5	1	0	0	0	0
2	2	5	1	102.5	1	0	0	0	1
2	2	10	1	105	1	0	0	0	1
2	2	15	1	100	1	0	0	0	1
2	2	30	1	110	1	0	0	0	1
2	2	60	1	117.5	1	0	0	0	1
2	2	120	1	97.5	1	0	0	0	0
2	2	180	1	102.5	1	0	0	0	1
2	2	240	1	112.5	1	0	0	0	1
3	3	1	1	132.5	1	0	0	0	1
3	3	5	1	125	1	0	0	0	1
3	3	10	1	115	1	0	0	0	1
3	3	15	1	112.5	1	0	0	0	1
3	3	30	1	110	1	0	0	0	1
3	3	60	1	110	1	0	0	0	1
3	3	120	1	127.5	1	0	0	0	1
4	4	1	1	110	1	0	0	0	1
4	4	5	1	110	1	0	0	0	1
5	5	1	1	122.5	1	0	0	0	1
5	5	5	1	127.5	1	0	0	0	1
6	6	1	1	102.5	1	0	0	0	1
6	6	5	1	107.5	1	0	0	0	1
6	6	10	1	107.5	1	0	0	0	1
6	6	15	1	102.5	1	0	0	0	1
6	6	30	1	90	1	0	0	0	0
6	6	60	1	112.5	1	0	0	0	1
6	6	120	1	107.5	1	0	0	0	1
6	6	180	1	110	1	0	0	0	1
6	6	240	1	112.5	1	0	0	0	1
7	7	1	1	42.5	1	0	0	0	0
7	7	5	1	42.5	1	0	0	0	0
8	8	1	1	107.5	1	0	0	0	1
8	8	5	1	80	1	0	0	0	0
9	9	1	1	110	1	0	0	0	1
9	9	5	1	130	1	0	0	0	1
9	9	10	1	115	1	0	0	0	1
9	9	15	1	105	1	0	0	0	1
9	9	30	1	112.5	1	0	0	0	1
9	9	60	1	110	1	0	0	0	1
9	9	120	1	115	1	0	0	0	1
9	9	180	1	102.5	1	0	0	0	1
9	9	240	1	92.5	1	0	0	0	0
10	10	1	1	97.5	1	0	0	0	0
10	10	5	1	97.5	1	0	0	0	0
10	10	10	1	80	1	0	0	0	0
10	10	15	1	82.5	1	0	0	0	0
10	10	30	1	82.5	1	0	0	0	0
10	10	60	1	102.5	1	0	0	0	1
10	10	120	1	100	1	0	0	0	1
10	10	180	1	95	1	0	0	0	0
10	10	240	1	95	1	0	0	0	0
11	11	1	1	90	1	0	0	0	0
11	11	5	1	70	1	0	0	0	0
11	11	10	1	85	1	0	0	0	0
11	11	15	1	85	1	0	0	0	0
11	11	30	1	92.5	1	0	0	0	0
11	11	60	1	97.5	1	0	0	0	0
11	11	120	1	107.5	1	0	0	0	1
